full_name,email,phone,food_preference
Alice Johnson,alice.johnson@example.com,555-123-4567,Vegetarian
Marcus Lee,marcus.lee@example.com,555-234-5678,Vegan
Sara Patel,sara.patel@example.com,555-345-6789,Gluten-Free
David Kim,david.kim@example.com,555-456-7890,No Preference
Emily Chen,emily.chen@example.com,555-567-8901,Halal
Robert Garcia,robert.garcia@example.com,555-678-9012,Kosher
Linda Martinez,linda.martinez@example.com,555-789-0123,Vegetarian
Jason Brown,jason.brown@example.com,555-890-1234,Pescatarian
Nina Williams,nina.williams@example.com,555-901-2345,Vegan
Tom Rivera,tom.rivera@example.com,555-012-3456,No Preference

